label,text
0,1.they-nsubj-mitosis do-aux-mitosis mitosis-ROOT-mitosis so-mark-stay they-nsubj-stay can-aux-stay stay-advcl-mitosis alive-acomp-stay if-mark-is one-nummod-cell cell-nsubj-is is-advcl-get dying.2.more-amod-substances substances-nsubj-come come-advcl-get in-prep-come then-advmod-get out3.cell-nsubj-get get-conj-mitosis rid-xcomp-get of-prep-rid the-det-stuff stuff-pobj-of they-nsubj-need do-aux-need nt-neg-need need-relcl-stuff for-prep-need the-det-cell cell-pobj-for
0,mitosis-compound-translation meosis-compound-translation translation-ROOT-translation
0,1-ROOT-1 .-punct-1 the-det-membrane plasma-compound-membrane membrane-nsubj-helps itself-appos-membrane helps-ROOT-helps to-aux-control control-xcomp-helps the-det-movement movement-dobj-control of-prep-movement some-det-substances substances-pobj-of by-prep-control letting-pcomp-by them-dobj-letting in-prep-letting or-cc-letting keeping-conj-letting them-dobj-keeping out.2-npadvmod-keeping .-punct-helps the-det-apparatus golgi-compound-apparatus apparatus-nsubj-regulates regulates-ROOT-regulates the-det-movement movement-dobj-regulates of-prep-movement substances-pobj-of across-prep-substances the-det-cell cell-pobj-across membrane.3-pobj-across .-punct-regulates the-det-reticulum endoplasmic-amod-reticulum reticulum-nsubj-helps helps-ROOT-helps to-aux-regulate regulate-xcomp-helps the-det-movement movement-dobj-regulate of-prep-movement substances-pobj-of across-prep-substances the-det-membrane cell-compound-membrane membrane-pobj-across as-advmod-well well-advmod-regulate .-punct-helps
0,the-det-cell cell-nsubj-tell can-aux-tell tell-ROOT-tell the-det-substances substances-dobj-tell to-aux-move move-xcomp-tell across-prep-move the-det-membrane membrane-pobj-across because-mark-need the-det-cells cells-nsubj-need need-advcl-tell to-aux-move move-xcomp-need to-aux-get get-advcl-move to-prep-get the-det-place place-pobj-to where-advmod-need they-nsubj-need need-relcl-place to-aux-go go-xcomp-need .-punct-tell
0,the-det-membrane membrane-nsubj-recognizes recognizes-ROOT-recognizes and-cc-recognizes lets-conj-recognizes needed-amod-protiens protiens-nsubj-go go-ccomp-lets into-prep-go the-det-cell cell-pobj-into .-punct-recognizes osmosis-nsubj-is is-ROOT-is a-det-way way-attr-is they-nsubj-keep keep-relcl-way the-det-liquid liquid-dobj-keep in-prep-keep the-det-cell cell-pobj-in equal-amod-cell to-prep-equal the-det-liquid liquid-pobj-to outside-advmod-liquid of-prep-outside the-det-cell cell-pobj-of .-punct-is plants-nsubj-use use-ROOT-use a-det-wall cell-compound-wall wall-dobj-use to-aux-protect protect-xcomp-use the-det-cell cell-dobj-protect and-cc-protect keep-conj-protect out-prt-keep big-amod-things things-dobj-keep and-cc-keep let-conj-keep the-det-things little-amod-things things-dobj-let in-prep-things .-punct-use
0,1.the-dep-is structure-nsubj-is og-preconj-is the-det-cell cell-poss-is 's-case-cell is-ROOT-is the-det-cell same2.living-compound-cell cell-poss-come 's-case-cell come-ccomp-is from-prep-come another-det-cell3 living-compound-cell3 cell3-pobj-from .-punct-is cell-nsubj-come 's-case-cell come-ROOT-come from-prep-come cell-pobj-from 's-case-cell
0,respirationmovement-ROOT-respirationmovement of-prep-respirationmovement foods-pobj-of and-cc-foods protiens-conj-foods in-prep-protiens and-cc-in out-conj-in of-prep-out the-det-cell cell-pobj-of
0,1-ROOT-1 .-punct-1 the-det-postion postion-nsubj-let of-prep-postion the-det-cell cell-pobj-of sometimes-advmod-let wo-aux-let nt-neg-let let-ROOT-let the-det-cell cell-dobj-let move.2-appos-cell .-punct-let the-det-flagella flagella-nsubj-grab will-aux-grab grab-ROOT-grab hold-dobj-grab of-prep-hold something-pobj-of on-prep-something the-det-side side-pobj-on to-prep-grab where-advmod-stuck it-nsubjpass-stuck will-aux-stuck be-auxpass-stuck stuck-pcomp-to until-mark-lets it-nsubj-lets lets-advcl-grab go.3-dobj-lets .-punct-grab the-det-procees procees-nsubj-stay of-prep-procees the-det-cell cell-pobj-of will-aux-stay stay-ROOT-stay in-prep-stay one-nummod-place place-pobj-in until-mark-is its-poss-procees procees-nsubj-is is-advcl-stay complet-attr-is .-punct-stay
0,cellular-amod-wall wall-ROOT-wall
0,first-advmod-decide they-nsubj-decide decide-ROOT-decide if-mark-is the-det-substances substances-nsubj-is is-ccomp-decide good-acomp-is or-cc-good bad-conj-good .-punct-decide they-nsubj-insepct insepct-ROOT-insepct the-det-substances substances-dobj-insepct by-prep-insepct telling-pcomp-by if-mark-protein its-poss-protein a-det-protein protein-dobj-telling or-cc-protein a-det-diease diease-conj-protein .-punct-insepct  -compound-secound secound-npadvmod-elimanate they-nsubj-elimanate elimanate-ROOT-elimanate the-det-substances bad-amod-substances substances-dobj-elimanate .-punct-elimanate if-mark-is the-det-substance substance-nsubj-is is-advcl-let good-acomp-is they-nsubj-let let-ROOT-let it-nsubj-go go-ccomp-let throw-advcl-go .-punct-let third-amod-   -ROOT-  they-nsubj-ship ship-ccomp-  or-cc-ship store-conj-ship some-dobj-store of-prep-some the-det-protiens protiens-pobj-of
