label,text
1,DET NOUN VERB ADP DET NOUN PUNCT ADP DET NOUN DET NOUN VERB VERB ADP DET VERB VERB VERB VERB PART VERB NOUN PUNCT DET NOUN NOUN VERB ADV VERB ADP NOUN PART VERB NOUN PUNCT DET NOUN VERB VERB PUNCT VERB DET NOUN VERB PUNCT
0,NOUN VERB VERB CONJ VERB PART PUNCT NOUN VERB VERB PART ADV NUM NOUN NOUN VERB ADV VERB ADP DET ADJ VERB NOUN VERB VERB NOUN ADV ADP VERB NOUN PUNCT
0,DET NOUN ADV VERB ADP DET NOUN NOUN NOUN PUNCT
0,DET NOUN ADV VERB ADP DET NOUN PUNCT ADV NOUN VERB ADV VERB PUNCT ADV NUM NOUN VERB ADP DET NOUN ADP DET ADJ VERB ADP DET NOUN PUNCT ADV NOUN VERB ADJ NOUN ADP DET NOUN PUNCT DET NOUN ADV VERB DET NOUN CONJ VERB NOUN PUNCT
2,ADJ NOUN DET NOUN VERB VERB VERB ADP DET NOUN PUNCT SPACE ADV PUNCT DET NOUN VERB CONJ VERB DET ADJ NUM NOUN PUNCT SPACE ADV PUNCT DET NOUN VERB PART DET NOUN NOUN ADJ VERB DET NOUN PUNCT SPACE ADJ PUNCT DET NOUN NOUN ADP CONJ DET ADJ NOUN VERB NOUN NOUN ADP NUM DET PUNCT
1,VERB ADP DET INTJ ADV VERB NOUN
0,NOUN NOUN VERB SPACE DET NOUN NOUN ADP DET NOUN ADP DET NOUN DET DET NOUN NOUN VERB ADP PART VERB DET NOUN ADP DET NOUN CONJ VERB NOUN ADP DET NOUN ADP DET NOUN ADP ADP PUNCT ADP NOUN ADP DET NOUN VERB VERB DET NOUN CONJ VERB NOUN ADP DET NOUN ADP NOUN NOUN PUNCT
0,NOUN DET NOUN NOUN NOUN VERB PUNCT DET NOUN NOUN NOUN VERB NOUN PUNCT DET NOUN VERB VERB NOUN DET NOUN VERB VERB
0,PUNCT PUNCT DET NOUN VERB DET VERB NOUN PART ADP DET NOUN PUNCT ADV PUNCT VERB PART NOUN PART VERB PART ADP DET NOUN NOUN PART VERB DET NOUN ADP DET NOUN NOUN PUNCT DET NOUN NOUN VERB ADV VERB PART ADP DET NOUN ADP NUM NOUN PUNCT ADP DET NOUN VERB VERB NOUN VERB VERB PART VERB DET NOUN PUNCT
1,ADV DET NOUN VERB DET NOUN NOUN CONJ NOUN ADP DET NOUN ADV NOUN VERB ADJ NOUN
0,DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN NOUN PUNCT DET ADJ NOUN NOUN DET NOUN PUNCT DET NOUN VERB PART VERB ADP DET ADJ ADJ NOUN PUNCT DET NOUN VERB VERB ADP DET ADJ NOUN NOUN PUNCT
1,NOUN VERB DET SPACE NOUN PUNCT ADV NOUN VERB DET NOUN PUNCT CONJ VERB ADP DET NOUN
1,PUNCT PUNCT DET NOUN VERB DET NOUN PUNCT DET NOUN VERB ADP DET NOUN PUNCT DET NOUN VERB ADP DET NOUN PUNCT DET NOUN VERB VERB ADP DET NOUN ADV ADP DET NOUN PUNCT
0,NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN
3,NUM ADJ NOUN VERB ADP NOUN NOUN VERB ADP VERB PUNCT NOUN VERB DET NOUN PUNCT ADV PUNCT NOUN VERB ADJ NOUN ADP DET NOUN PUNCT DET NOUN NOUN VERB ADP DET NOUN ADJ PUNCT NOUN PUNCT ADV PUNCT DET NOUN NOUN VERB VERB ADP DET NOUN NOUN PUNCT DET NOUN VERB VERB ADP DET NOUN NOUN VERB VERB PUNCT
1,NUM NOUN VERB DET NOUN ADP NOUN PART VERB NOUN PUNCT DET NOUN VERB NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN PUNCT DET NOUN VERB PART VERB NOUN PUNCT DET ADJ NOUN NOUN ADP DET ADJ NOUN VERB VERB PUNCT
0,NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN
0,NOUN VERB NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN PUNCT
1,DET NOUN VERB ADP DET NOUN PUNCT ADV VERB DET NOUN PUNCT ADV DET NOUN VERB DET NOUN NOUN PUNCT CONJ ADV DET NOUN VERB DET NOUN CONJ DET NOUN VERB ADJ ADP DET NOUN PUNCT
0,ADJ NOUN NOUN ADV NOUN VERB NOUN NOUN DET NOUN NOUN NOUN VERB ADV NOUN NOUN NOUN ADP NOUN NOUN VERB NOUN DET NOUN
0,NOUN
0,NOUN NOUN VERB VERB ADP ADJ NOUN ADP ADP DET NOUN PUNCT DET NUM ADJ NOUN VERB ADV NOUN VERB ADP DET NOUN CONJ ADV ADJ NOUN VERB DET NOUN PUNCT
0,ADV NOUN VERB DET NOUN PUNCT NOUN VERB ADP DET ADJ NOUN ADP ADJ DET NOUN VERB VERB PART VERB VERB PUNCT ADP DET NOUN ADP DET ADJ NOUN PUNCT NOUN VERB VERB PUNCT
0,DET NOUN ADV VERB PART VERB PUNCT SPACE ADV NOUN VERB NOUN PUNCT ADV DET ADJ NOUN VERB ADJ PUNCT
